,file,interval_idx,t_start_hours,t_end_hours,n_events,success,log_likelihood,mu,alpha,beta,ks_reject_khmaladze,ad_reject_khmaladze,cvm_reject_khmaladze,rejected_count_khmaladze,ks_reject_naive,ad_reject_naive,cvm_reject_naive,rejected_count_naive,ks_reject_exp,ad_reject_exp,cvm_reject_exp,rejected_count_exp
0_0,SG_20170127.csv.gz,0,0.0,0.25,676,True,2608.7892246685146,0.3173385855083127,14092.566833748593,23053.860921517502,False,False,False,0,False,False,False,0,True,True,True,3
0_1,SG_20170127.csv.gz,1,0.25,0.5,624,True,2006.6373532584187,0.29264843927895956,4365.726674800329,8486.77897502419,False,True,False,1,False,True,False,1,True,True,True,3
0_2,SG_20170127.csv.gz,2,0.5,0.75,454,True,1522.9039948577556,0.2266372628266449,12001.119608583607,23287.064462900293,False,False,False,0,False,False,False,0,True,True,True,3
0_3,SG_20170127.csv.gz,3,0.75,1.0,533,True,1284.9372684668451,0.29047923223177124,4021.261196568736,8155.412419575774,False,False,False,0,False,False,False,0,True,True,True,3
0_4,SG_20170127.csv.gz,4,1.0,1.25,823,True,2749.9854238620246,0.42075778932268854,9870.154590725013,17640.708120283056,False,True,False,1,True,True,False,2,True,True,True,3
0_5,SG_20170127.csv.gz,5,1.25,1.5,611,True,1910.5694866760357,0.30198909928452955,5781.490246725777,10446.046623625589,False,True,False,1,False,True,False,1,True,True,True,3
0_6,SG_20170127.csv.gz,6,1.5,1.75,345,True,933.3235818690458,0.15938577659166053,2229.7853719873146,4432.9109668169685,False,True,True,2,False,True,False,1,True,True,True,3
0_7,SG_20170127.csv.gz,7,1.75,2.0,625,True,2980.9218815261975,0.29080328114129594,54371.85370656014,94436.32295253559,False,True,False,1,True,True,True,3,True,True,True,3
0_8,SG_20170127.csv.gz,8,2.0,2.25,410,True,1399.4165205040963,0.1967799474411905,11471.363641141152,20198.642071095346,False,False,False,0,False,False,False,0,True,True,True,3
0_9,SG_20170127.csv.gz,9,2.25,2.5,437,True,1729.7217677878064,0.210020255548052,23879.09997661813,44039.51226785338,False,True,False,1,False,True,False,1,True,True,True,3
0_10,SG_20170127.csv.gz,10,2.5,2.75,254,True,660.705136934009,0.15575041285296815,40305.05910403125,115886.7714203556,False,False,False,0,False,False,False,0,True,True,True,3
0_11,SG_20170127.csv.gz,11,2.75,3.0,673,True,2405.8897229976837,0.39705862443555606,93784.73819700826,184585.7347188474,False,False,False,0,False,False,False,0,True,True,True,3
0_12,SG_20170127.csv.gz,12,3.0,3.25,404,True,1351.9785762720853,0.19772569061760487,12615.834691406468,23721.571717560662,False,False,False,0,False,False,False,0,True,True,True,3
0_13,SG_20170127.csv.gz,13,3.25,3.5,354,True,871.192766852274,0.17193581274316716,2414.2300485386636,5030.611569324471,False,True,True,2,False,True,False,1,True,True,True,3
0_14,SG_20170127.csv.gz,14,3.5,3.75,561,True,2098.38697591972,0.25537543805186197,11595.681281386585,18870.069871619253,True,True,True,3,True,True,True,3,True,True,True,3
0_15,SG_20170127.csv.gz,15,3.75,4.0,135,True,213.23706732909886,0.08116036601749876,10955.644628861239,23883.563797447987,False,False,False,0,False,False,False,0,True,True,True,3
0_16,SG_20170127.csv.gz,16,4.0,4.25,255,True,878.6876461480477,0.1099964296370028,5571.971095074123,11992.732218790099,True,True,False,2,False,True,False,1,True,True,True,3
0_17,SG_20170127.csv.gz,17,4.25,4.5,165,True,295.84659990748025,0.10043589432408358,8301.498969184753,30667.574710653156,False,False,False,0,False,True,False,1,True,True,True,3
0_18,SG_20170127.csv.gz,18,4.5,4.75,202,True,535.0126442777107,0.10960457795137786,10405.326011236088,34790.53981578535,False,False,False,0,True,True,True,3,True,True,True,3
0_19,SG_20170127.csv.gz,19,4.75,5.0,397,True,1084.8371732241642,0.21803594197144485,12064.581363568685,23932.820665514006,True,True,True,3,False,True,False,1,True,True,True,3
0_20,SG_20170127.csv.gz,20,5.0,5.25,283,True,775.8450406441452,0.15351070671514777,10016.397311558272,22807.855342833085,False,True,False,1,False,False,False,0,True,True,True,3
0_21,SG_20170127.csv.gz,21,5.25,5.5,445,True,1149.5068701635446,0.15450838195177782,570.5306556722232,829.7864869923212,True,True,True,3,False,False,False,0,True,True,True,3
0_22,SG_20170127.csv.gz,22,5.5,5.75,386,True,1071.781568240072,0.2421937354473163,69713.98816505953,140938.9027914799,False,False,False,0,False,False,False,0,True,True,True,3
0_23,SG_20170127.csv.gz,23,5.75,6.0,838,True,3179.2471508360168,0.4735980140785191,58741.32020234013,102213.01730315988,True,True,False,2,True,True,True,3,True,True,True,3
0_24,SG_20170127.csv.gz,24,6.0,6.25,378,True,1008.8290646541743,0.23842156334300296,66164.34611435616,120003.03537517544,False,False,False,0,True,True,True,3,True,True,True,3
0_25,SG_20170127.csv.gz,25,6.25,6.5,344,True,1165.3329671178885,0.16278016564333975,9972.662983780036,19627.16730227859,False,False,False,0,False,False,False,0,True,True,True,3
0_26,SG_20170127.csv.gz,26,6.5,6.75,412,True,1116.1499415394735,0.2549055535501595,30781.11656613297,96227.44966271574,False,True,False,1,False,True,False,1,True,True,True,3
0_27,SG_20170127.csv.gz,27,6.75,7.0,562,True,1068.2587834967985,0.3616751443799975,4964.581383020154,14087.276936571147,True,True,True,3,False,True,False,1,True,True,True,3
0_28,SG_20170127.csv.gz,28,7.0,7.25,437,True,1435.6509794554402,0.22128565904944492,12200.458807313236,23989.370009189235,False,False,False,0,False,False,False,0,True,True,True,3
0_29,SG_20170127.csv.gz,29,7.25,7.5,324,True,992.9718032775305,0.18867623082127952,50580.0136721946,132784.75280423462,True,True,True,3,False,True,False,1,True,True,True,3
0_30,SG_20170127.csv.gz,30,7.5,7.75,398,True,1242.1163891252527,0.2377887409874978,77926.96660415661,171515.7097295839,False,True,False,1,False,False,False,0,True,True,True,3
0_31,SG_20170127.csv.gz,31,7.75,8.0,455,True,1716.8173913630785,0.21499977963551736,17414.776615356823,33963.07336749267,False,False,False,0,False,False,False,0,True,True,True,3
0_32,SG_20170127.csv.gz,32,8.0,8.25,722,True,3182.8159004583113,0.3330708436992121,28565.13031697301,49098.09136933522,False,False,False,0,False,False,False,0,True,True,True,3
0_33,SG_20170127.csv.gz,33,8.25,8.480346217222223,656,True,2771.524524290373,0.36072132828826836,66610.7757847511,116595.03260133122,False,True,False,1,True,True,True,3,True,True,True,3
1_0,SG_20170125.csv.gz,0,0.0,0.25,1036,True,3493.5144968323025,0.5682879736062204,14381.358612373304,28987.59259746492,False,True,False,1,False,True,False,1,True,True,True,3
1_1,SG_20170125.csv.gz,1,0.25,0.5,989,True,3810.0695699093444,0.49610418175352433,16406.656326108234,30106.76199653775,False,False,False,0,False,False,False,0,True,True,True,3
1_2,SG_20170125.csv.gz,2,0.5,0.75,929,True,3791.3949231219285,0.45626613046029063,16824.814703952154,31106.124503589836,False,True,False,1,True,True,True,3,True,True,True,3
1_3,SG_20170125.csv.gz,3,0.75,1.0,803,True,2110.0612727902985,0.37606500341225546,1511.3578441195214,2611.2798027647436,True,True,True,3,False,False,False,0,True,True,True,3
1_4,SG_20170125.csv.gz,4,1.0,1.25,496,True,1443.5463112532898,0.27056293792023167,10678.000802355044,23022.98528013299,True,True,True,3,False,True,False,1,True,True,True,3
1_5,SG_20170125.csv.gz,5,1.25,1.5,392,True,1235.403596649516,0.1996334419448333,11658.289179630017,21459.136062039797,False,False,False,0,False,False,False,0,True,True,True,3
1_6,SG_20170125.csv.gz,6,1.5,1.75,428,True,1529.5497961567512,0.2078578115598931,12478.73667154153,30221.653494802315,False,True,False,1,True,True,True,3,True,True,True,3
1_7,SG_20170125.csv.gz,7,1.75,2.0,528,True,2076.1165148718733,0.2510515839841919,20505.944081264697,34627.30712167198,False,False,False,0,False,False,False,0,True,True,True,3
1_8,SG_20170125.csv.gz,8,2.0,2.25,315,True,1234.4940864781588,0.1633349151974513,47717.81443130107,119678.47376921949,False,False,False,0,False,True,False,1,True,True,True,3
1_9,SG_20170125.csv.gz,9,2.25,2.5,325,True,1378.6755380437453,0.1580125381549447,56769.42996634978,120428.00352758437,True,True,True,3,False,True,False,1,True,True,True,3
