,success,log_likelihood,mu,alphas,betas,n_events
0,True,43058.82012174254,0.09987506008520518,[9.30323510e+01 5.90637754e+02 7.98302573e-02],[2.20443546e+05 9.48616178e+02 4.40419528e-01],15579
1,True,59863.712606808615,0.12493994460255144,[7.58005948e+01 5.15008885e+02 6.13571822e-02],[2.16925560e+05 7.81915693e+02 4.25488100e-01],19403
2,True,50659.685102399555,0.10455817880208766,[9.13181799e+04 1.23095204e+02 4.43263099e-02],[2.14431210e+05 6.72321530e+02 2.77725129e-01],13777
3,True,40394.32627513389,0.10811331099667182,[7.62972341e+01 4.94344024e+02 3.30912847e-02],[2.19479195e+05 7.63771814e+02 2.65486550e-01],14484
4,True,56753.740389675004,0.1276975629431251,[7.33519784e+01 5.09607458e+02 5.89858779e-02],[2.23528694e+05 7.92660307e+02 3.77876664e-01],19532
5,True,36733.36163543051,0.09997245438084937,[9.08301841e+01 5.74534796e+02 5.53142041e-02],[2.11049762e+05 9.33480803e+02 3.29218687e-01],14119
6,True,50943.1597775201,0.1224095377265041,[5.78603792e+01 3.91878262e+02 5.55006974e-02],[2.16734215e+05 6.03850806e+02 3.80226688e-01],18264
7,True,50363.17364425046,0.10645128999138787,[8.45900326e+01 5.71820341e+02 5.34506271e-02],[2.18851451e+05 8.81518870e+02 3.37150120e-01],16952
8,True,32115.0889769681,0.07868668987169544,[8.59607329e+01 5.52821211e+02 2.61634421e-02],[2.14795715e+05 8.37517403e+02 2.04830888e-01],11327
9,True,42842.14835480624,0.08252016112604889,[1.92108979e+01 1.44582500e+02 4.05775087e-02],[2.35132031e+05 2.10730985e+02 2.38985081e-01],17495
10,True,30409.33169122865,0.08110769166690497,[9.26650077e+01 6.17022858e+02 3.49442037e-02],[2.07977652e+05 9.74154172e+02 2.38141935e-01],11261
11,True,47424.86819225647,0.09191666001955676,[1.13562140e+02 7.52772662e+02 5.66964626e-02],[2.15776616e+05 1.14113377e+03 3.59260748e-01],15368
