,file,interval_idx,t_start_hours,t_end_hours,n_events,success,log_likelihood,mu,alphas,betas,ks_reject_khmaladze,ad_reject_khmaladze,cvm_reject_khmaladze,rejected_count_khmaladze,ks_reject_naive,ad_reject_naive,cvm_reject_naive,rejected_count_naive,ks_reject_exp,ad_reject_exp,cvm_reject_exp,rejected_count_exp
0_0,SG_20170127.csv.gz,0,0.0,0.25,676,True,2391.774630589347,0.12868352980484787,[1.29649119e+02 7.85106371e+02 8.95937856e-02],[2.00911435e+05 1.15426092e+03 6.06377318e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_1,SG_20170127.csv.gz,1,0.25,0.5,624,True,1851.3162222747615,0.1259755294049843,[1.13106874e+02 6.92347274e+02 1.09590047e-01],[2.09821506e+05 1.10074046e+03 5.77940593e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_2,SG_20170127.csv.gz,2,0.5,0.75,454,True,1248.5436825939128,0.10984847181245251,[8.47562285e+01 5.50215109e+02 4.00311128e-02],[2.08268714e+05 8.65121246e+02 2.68834348e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_3,SG_20170127.csv.gz,3,0.75,1.0,533,True,1206.43771700575,0.14240044121972842,[1.04851575e+02 5.98183243e+02 1.01491946e-01],[2.15832344e+05 1.05167808e+03 5.32962896e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_4,SG_20170127.csv.gz,4,1.0,1.25,823,True,2410.979673002972,0.18963287694846526,[9.62190256e+01 6.09573669e+02 1.00099490e-01],[2.22710691e+05 9.77566837e+02 5.93587150e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_5,SG_20170127.csv.gz,5,1.25,1.5,611,True,1857.4336813337386,0.141660000604921,[1.20275490e+02 7.92418662e+02 1.31707486e-01],[2.19191792e+05 1.29199292e+03 7.40890078e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_6,SG_20170127.csv.gz,6,1.5,1.75,345,True,896.599768566849,0.07307756220398136,[5.24108747e+01 4.04744464e+02 5.28794773e-02],[2.41353625e+05 6.36209297e+02 3.05740292e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_7,SG_20170127.csv.gz,7,1.75,2.0,625,True,2439.678455531041,0.11936114216230351,[1.09707595e+02 8.17553269e+02 5.46224588e-02],[2.43646673e+05 1.16222701e+03 4.40131080e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_8,SG_20170127.csv.gz,8,2.0,2.25,410,True,1173.3969656215213,0.08596633697750415,[5.23717081e+01 3.70981799e+02 2.34252699e-02],[2.17047176e+05 5.40368416e+02 1.87605906e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_9,SG_20170127.csv.gz,9,2.25,2.5,437,True,1705.1194987719623,0.08172879028974722,[2.92472288e+02 1.86376215e+03 1.54981293e-01],[2.32107994e+05 2.83783121e+03 8.92452595e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_10,SG_20170127.csv.gz,10,2.5,2.75,254,True,791.0903286648089,0.07950195940482375,[1.00025014e+05 1.29302168e+01 2.13319400e-02],[2.27177701e+05 8.52931378e+01 1.55626441e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_11,SG_20170127.csv.gz,11,2.75,3.0,673,True,1774.5276191718244,0.14304086663153046,[6.33420495e+01 3.66753703e+02 1.85857470e-01],[2.17966736e+05 6.06742645e+02 9.10678112e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_12,SG_20170127.csv.gz,12,3.0,3.25,404,True,1210.6702491259964,0.08805489873734416,[1.46930852e+02 8.31910622e+02 4.46569368e-02],[2.21303952e+05 1.26108787e+03 3.10880799e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_13,SG_20170127.csv.gz,13,3.25,3.5,354,True,861.513809737063,0.0863669758370574,[1.55113384e+02 8.57384226e+02 8.40859789e-02],[2.05973268e+05 1.44109173e+03 4.54927353e-01],True,False,False,1,False,False,False,0,True,True,True,3
0_14,SG_20170127.csv.gz,14,3.5,3.75,561,True,2051.823046144627,0.10797800134928265,[2.98992140e+02 1.67533500e+03 1.28736522e-01],[2.12784465e+05 2.60906187e+03 7.04322264e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_15,SG_20170127.csv.gz,15,3.75,4.0,135,True,191.294129784109,0.055754894348084415,[6.02348681e+02 2.49816873e+03 2.53817779e-02],[2.09623040e+05 5.13977587e+03 1.80967124e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_16,SG_20170127.csv.gz,16,4.0,4.25,255,True,848.4993977560862,0.05981322442721352,[1.81685955e+02 1.21668112e+03 4.07956236e-02],[2.25065446e+05 1.87271239e+03 2.94592194e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_17,SG_20170127.csv.gz,17,4.25,4.5,165,True,218.9165550647619,0.050538665823586994,[9.89945852e+01 5.32235856e+02 5.45880043e-02],[2.31157863e+05 1.04551634e+03 2.54019113e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_18,SG_20170127.csv.gz,18,4.5,4.75,202,True,360.53008897306177,0.05773907090434241,[5.48701632e+01 3.16326990e+02 2.05198079e-02],[2.15791897e+05 5.31726563e+02 1.36930880e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_19,SG_20170127.csv.gz,19,4.75,5.0,397,True,826.495930730387,0.0870853857095995,[3.50813508e+01 2.44351455e+02 4.78521144e-02],[2.15423512e+05 3.98086711e+02 2.52369234e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_20,SG_20170127.csv.gz,20,5.0,5.25,283,True,579.8484599690236,0.05565647088247894,[3.33017107e+01 2.31100607e+02 4.07915144e-02],[2.04725785e+05 3.68243900e+02 2.08569888e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_21,SG_20170127.csv.gz,21,5.25,5.5,445,True,1211.8124331175084,0.06583534301729732,[7.53803312e+01 4.34722706e+02 7.44033240e-02],[1.96320265e+05 6.33227116e+02 4.13418795e-01],True,False,True,2,False,False,False,0,True,True,True,3
0_22,SG_20170127.csv.gz,22,5.5,5.75,386,True,669.6279539924035,0.09789988254512139,[1.37448690e+01 1.02453251e+02 2.59537988e-02],[2.24562648e+05 1.57628939e+02 2.11777198e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_23,SG_20170127.csv.gz,23,5.75,6.0,838,True,2585.503515223837,0.14454880118878813,[1.10742595e+02 5.95784975e+02 3.38291830e-01],[2.23244422e+05 9.62858091e+02 1.49830068e+00],False,False,False,0,False,False,False,0,True,True,True,3
0_24,SG_20170127.csv.gz,24,6.0,6.25,378,True,836.3652286200077,0.07847260455666308,[2.73099219e+01 2.06051061e+02 1.91952461e-02],[2.39172915e+05 3.00266309e+02 1.51273969e-01],False,False,False,0,False,False,False,0,True,True,True,3
0_25,SG_20170127.csv.gz,25,6.25,6.5,344,True,949.033734618378,0.08269888769217788,[1.15381715e+02 7.57724918e+02 4.22089496e-02],[2.16303982e+05 1.21666817e+03 2.63572471e-01],False,False,False,0,False,False,False,0,True,True,True,3
