,file,interval_idx,t_start_hours,t_end_hours,n_events,success,log_likelihood,mu,alphas,betas,ks_reject_khmaladze,ad_reject_khmaladze,cvm_reject_khmaladze,rejected_count_khmaladze,ks_reject_naive,ad_reject_naive,cvm_reject_naive,rejected_count_naive,ks_reject_exp,ad_reject_exp,cvm_reject_exp,rejected_count_exp
0_0,SG_20170127.csv.gz,0,0.0,0.25,676,True,2770.809202597289,0.29222242995909997,[ 1289.82063515   899.66769979 23617.89965693],[10032.43883304 30611.15847857 40225.45889163],False,False,False,0,True,True,True,3,True,True,True,3
0_1,SG_20170127.csv.gz,1,0.25,0.5,624,True,2104.808298997614,0.2855764205343126,[  851.72836967     0.         10083.29556478],[ 5639.447781   13194.89552829 17172.35840354],False,False,False,0,True,True,True,3,True,True,True,3
0_2,SG_20170127.csv.gz,2,0.5,0.75,454,True,1504.343443804077,0.22390481101945,[4.36335893e-01 0.00000000e+00 1.81028817e+04],[11655.54260867 18934.23442907 22646.25524153],False,False,False,0,True,True,True,3,True,True,True,3
0_3,SG_20170127.csv.gz,3,0.75,1.0,533,True,1756.1673378330029,0.2399232234322872,[7.84788854e+01 1.31654834e-03 5.61889091e+04],[   373.810586    26740.15164962 143528.07611948],False,False,False,0,False,False,False,0,True,True,True,3
0_4,SG_20170127.csv.gz,4,1.0,1.25,823,True,2810.1857580758065,0.4182729337346589,[ 1312.67695578     0.         21859.85501236],[12319.82151457 28141.16617795 32571.39048606],False,False,False,0,True,True,True,3,True,True,True,3
0_5,SG_20170127.csv.gz,5,1.25,1.5,611,True,2124.2597326402943,0.2779241261175395,[ 1633.36129453   207.37227145 18819.16973482],[ 3990.47374669 21659.24616334 37728.5045528 ],False,False,False,0,True,True,True,3,True,True,True,3
0_6,SG_20170127.csv.gz,6,1.5,1.75,345,True,973.8142597433254,0.15918469504595947,[ 514.38768884    0.         6569.39886703],[3627.9568599  8036.80175756 9575.49685155],False,False,False,0,True,True,True,3,True,True,True,3
0_7,SG_20170127.csv.gz,7,1.75,2.0,625,True,3087.7283924050953,0.2453653226940521,[  414.35738955   986.83735442 36643.3999947 ],[10475.14012719 55258.40774071 63238.15319915],False,True,False,1,True,True,True,3,True,True,True,3
0_8,SG_20170127.csv.gz,8,2.0,2.25,410,True,1391.1374093665054,0.1991881558518968,[7.57487753e+00 0.00000000e+00 1.72290771e+04],[10761.24447706 20153.61684621 23068.38115998],False,False,False,0,True,True,True,3,True,True,True,3
0_9,SG_20170127.csv.gz,9,2.25,2.5,437,True,1738.9646737231046,0.1983991394166317,[   65.75226311   721.88480373 26205.43906586],[11503.10897231 34094.57383371 35657.20143417],False,False,False,0,True,True,True,3,True,True,True,3
