,file,interval_idx,t_start_hours,t_end_hours,n_events,success,log_likelihood,mu,alpha,beta,ks_reject_khmaladze,ad_reject_khmaladze,cvm_reject_khmaladze,rejected_count_khmaladze,ks_reject_naive,ad_reject_naive,cvm_reject_naive,rejected_count_naive,ks_reject_exp,ad_reject_exp,cvm_reject_exp,rejected_count_exp
0_0,SG_20170127.csv.gz,0,0.0,1.0,2287,True,7352.857214986898,0.27381100248907225,6861.062783964871,10038.071569041454,False,False,False,0,True,True,True,3,True,True,True,3
0_1,SG_20170127.csv.gz,1,1.0,2.0,2404,True,8399.831176138743,0.2993812242956703,10853.076649534505,19984.890948437867,True,True,True,3,True,True,True,3,True,True,True,3
0_2,SG_20170127.csv.gz,2,2.0,3.0,1774,True,5979.875663276193,0.231840481659972,26641.879704766692,37688.032630076224,False,True,False,1,True,True,True,3,True,True,True,3
0_3,SG_20170127.csv.gz,3,3.0,4.0,1454,True,4424.344364874682,0.18233853384953247,15271.205223861132,19816.123251279947,False,False,False,0,True,True,True,3,True,True,True,3
0_4,SG_20170127.csv.gz,4,4.0,5.0,1019,True,2781.025081180966,0.13717521188957027,14110.8458321767,27382.513600170045,True,True,True,3,False,True,False,1,True,True,True,3
0_5,SG_20170127.csv.gz,5,5.0,6.0,1952,True,5882.986914891255,0.2694141936248948,21089.334389063573,33123.75763169796,True,True,True,3,True,True,True,3,True,True,True,3
0_6,SG_20170127.csv.gz,6,6.0,7.0,1696,True,4111.26062238591,0.23993208282241324,14957.605297387883,17470.048553445573,True,True,True,3,True,True,True,3,True,True,True,3
0_7,SG_20170127.csv.gz,7,7.0,8.0,1614,True,5238.951615390718,0.20724688411084244,25548.080815202233,31870.881978046746,False,False,False,0,True,True,True,3,True,True,True,3
0_8,SG_20170127.csv.gz,8,8.0,8.480346217222223,1378,True,5964.670682324708,0.3606616862946656,70774.28205293404,128281.58524839356,False,True,False,1,True,True,True,3,True,True,True,3
1_0,SG_20170125.csv.gz,0,0.0,1.0,3757,True,13223.915599301843,0.49948821656997133,15387.116258326801,27975.329843764404,False,True,False,1,True,True,True,3,True,True,True,3
1_1,SG_20170125.csv.gz,1,1.0,2.0,1844,True,6212.236084158193,0.2301496534166214,17378.09133151778,22924.306948090572,False,False,False,0,True,True,True,3,True,True,True,3
1_2,SG_20170125.csv.gz,2,2.0,3.0,1655,True,6930.00312965004,0.19910864805681808,38318.288170415006,61207.76302930608,False,True,False,1,False,True,True,2,True,True,True,3
1_3,SG_20170125.csv.gz,3,3.0,4.0,1312,True,4162.801172124155,0.1678204046666361,28279.430354998498,34524.15360049026,False,False,False,0,True,True,True,3,True,True,True,3
1_4,SG_20170125.csv.gz,4,4.0,5.0,988,True,3393.224974845607,0.1299689863277086,61913.87620994764,66168.12336552558,True,True,True,3,True,True,True,3,True,True,True,3
1_5,SG_20170125.csv.gz,5,5.0,6.0,1634,True,6565.665777609953,0.1858573003884882,27380.76433524824,34590.5423947036,False,False,False,0,True,True,True,3,True,True,True,3
1_6,SG_20170125.csv.gz,6,6.0,7.0,2569,True,10323.146905335221,0.34177269102429897,97164.63820670998,148161.92812679693,False,False,False,0,True,True,True,3,True,True,True,3
1_7,SG_20170125.csv.gz,7,7.0,8.0,3654,True,15767.272524424703,0.4534617807852674,83751.94625489056,139436.0355079754,True,True,True,3,True,True,True,3,True,True,True,3
1_8,SG_20170125.csv.gz,8,8.0,8.4821780075,1989,True,8499.01590536341,0.5349140841341208,53418.618542541444,89012.08380346977,False,False,False,0,True,True,True,3,True,True,True,3
2_0,SG_20170117.csv.gz,0,0.0,1.0,2246,True,7887.102086188983,0.28545653755740336,22686.019186926605,30974.02706268417,False,False,False,0,True,True,True,3,True,True,True,3
2_1,SG_20170117.csv.gz,1,1.0,2.0,1004,True,2008.1539920007149,0.14185806142242655,15973.624873241079,15793.19207537778,True,True,True,3,True,True,True,3,True,True,True,3
2_2,SG_20170117.csv.gz,2,2.0,3.0,1320,True,3713.810614195116,0.17934601971152703,21617.28884291141,25815.171078487874,False,False,False,0,True,True,True,3,True,True,True,3
2_3,SG_20170117.csv.gz,3,3.0,4.0,1846,True,5667.043638478081,0.26778782498821047,17031.51168787551,25358.80524789949,True,True,True,3,True,True,True,3,True,True,True,3
2_4,SG_20170117.csv.gz,4,4.0,5.0,1893,True,6555.500660928696,0.24289096368364677,29183.474024367293,36045.4011466614,True,True,True,3,True,True,True,3,True,True,True,3
2_5,SG_20170117.csv.gz,5,5.0,6.0,1722,True,4610.146857162863,0.23952797863652012,18240.747169692117,22905.075504615394,True,True,True,3,True,True,True,3,True,True,True,3
2_6,SG_20170117.csv.gz,6,6.0,7.0,1630,True,3494.42562237576,0.2402147391925205,16810.120666550843,19063.748031210802,False,False,False,0,True,True,True,3,True,True,True,3
2_7,SG_20170117.csv.gz,7,7.0,8.0,1346,True,2841.6003126286296,0.18036210591604446,7750.141906568582,7868.127937325712,True,True,True,3,True,True,True,3,True,True,True,3
2_8,SG_20170117.csv.gz,8,8.0,8.48099367638889,769,True,2053.582985168858,0.23057226220151128,16511.906311580307,33959.18147788589,True,True,True,3,False,False,False,0,True,True,True,3
3_0,SG_20170123.csv.gz,0,0.0,1.0,3046,True,12864.706515467955,0.3250645098878652,10961.983388157494,16674.15701172049,False,True,False,1,True,True,True,3,True,True,True,3
3_1,SG_20170123.csv.gz,1,1.0,2.0,1927,True,5117.263453745025,0.2897133110573958,19616.659992688958,43495.686887755066,False,True,False,1,False,True,False,1,True,True,True,3
3_2,SG_20170123.csv.gz,2,2.0,3.0,1141,True,2854.902135587229,0.16163499197767522,12737.451228208785,25832.06496715332,True,True,True,3,False,False,False,0,True,True,True,3
3_3,SG_20170123.csv.gz,3,3.0,4.0,1063,True,3532.7691493536036,0.13037095137543073,32437.043439787427,36474.84531167334,False,False,False,0,True,True,True,3,True,True,True,3
3_4,SG_20170123.csv.gz,4,4.0,5.0,1080,True,3266.8524621285474,0.14039605258857757,31215.812925451253,34587.280646927764,False,False,False,0,True,True,True,3,True,True,True,3
3_5,SG_20170123.csv.gz,5,5.0,6.0,1220,True,4210.3892761782145,0.1491853589904254,33494.57719206723,35539.82966905679,True,True,True,3,True,True,True,3,True,True,True,3
3_6,SG_20170123.csv.gz,6,6.0,7.0,1377,True,3832.7720868023725,0.18134452784945546,25485.728821553417,23936.4761321804,True,True,True,3,True,True,True,3,True,True,True,3
3_7,SG_20170123.csv.gz,7,7.0,8.0,2060,True,7978.296737330655,0.25989475596926365,27732.014434742014,44570.37939200333,True,True,False,2,True,True,True,3,True,True,True,3
