generator,method,alpha_level,M,KS,CvM,AD,time_seconds
HawkesExp,naive,0.01,100,0,0,0,19.087102799967397
HawkesExp,naive,0.05,100,0,0,0,11.264271300053224
HawkesExp,naive,0.2,100,2,2,3,11.049869500042405
HawkesExp,naive,0.01,100,0,0,0,20.35103479999816
HawkesExp,naive,0.05,100,0,0,0,12.478948200005107
HawkesExp,naive,0.2,100,2,1,2,12.595560599991586
HawkesExp,naive,0.01,100,0,0,0,19.496722400013823
HawkesExp,naive,0.01,100,0,0,0,19.843997699965257
HawkesExp,naive,0.01,100,0,0,0,19.289783199958038
HawkesExp,naive,0.05,100,0,0,1,10.795600500016008
HawkesExp,naive,0.01,100,0,0,0,19.549578099977225
HawkesExp,naive,0.05,100,0,0,0,11.030025899992324
HawkesExp,naive,0.01,100,0,0,0,18.27891410002485
HawkesExp,naive,0.05,100,0,0,0,12.111098999972455
HawkesExp,naive,0.2,100,5,3,3,13.169839599984698
HawkesExp,naive,0.01,100,0,0,0,18.61945639998885
HawkesMultiExp,naive,0.01,500,0,0,0,83.18283009994775
HawkesMultiExp,naive,0.05,500,1,0,11,79.75786999997217
HawkesMultiExp,naive,0.2,500,21,12,60,77.42600269999821
HawkesMultiExp,khmaladze,0.01,500,10,8,18,98.36721870000474
HawkesMultiExp,khmaladze,0.05,500,35,35,67,94.74498149997089
HawkesMultiExp,khmaladze,0.2,500,114,117,162,85.76796919992194
