generator,method,alpha_level,M,KS,CvM,AD,time_seconds
HawkesExp,naive,0.01,500,0,0,0,26.107625200005714
HawkesExp,naive,0.05,500,1,0,1,22.500417299976107
HawkesExp,naive,0.2,500,6,3,5,22.69360520003829
HawkesExp,khmaladze,0.01,500,4,4,4,26.282771900005173
HawkesExp,khmaladze,0.05,500,29,25,25,23.064701900002547
HawkesExp,khmaladze,0.2,500,96,99,93,23.16122389998054
HawkesExp,naive_rtc,0.01,500,0,0,0,52.57415340002626
HawkesExp,naive_rtc,0.05,500,0,0,0,51.66280930000357
HawkesExp,naive_rtc,0.2,500,1,0,13,52.686806299956515

HawkesPL,naive,0.01,500,0,0,0,23.71229759999551
HawkesPL,naive,0.05,500,0,0,1,23.000386300031096
HawkesPL,naive,0.2,500,8,7,23,22.66051879990846
HawkesPL,khmaladze,0.01,500,5,5,11,23.073975500068627
HawkesPL,khmaladze,0.05,500,33,33,38,22.966385500039905
HawkesPL,khmaladze,0.2,500,111,108,129,23.237856499967165
HawkesPL,naive_rtc,0.01,500,0,0,16,54.92247190000489
HawkesPL,naive_rtc,0.05,500,5,2,64,56.71813379996456
HawkesPL,naive_rtc,0.2,500,69,33,262,55.376404999988154

HawkesMultiExp,naive,0.01,500,0,0,0,69.89663480012678
HawkesMultiExp,naive,0.05,500,0,1,7,67.49608340021223
HawkesMultiExp,naive,0.2,500,25,21,48,62.843260700115934
HawkesMultiExp,khmaladze,0.01,500,12,14,28,63.7810327000916
HawkesMultiExp,khmaladze,0.05,500,47,57,77,64.48705759993754
HawkesMultiExp,khmaladze,0.2,500,130,118,174,67.5640640000347
HawkesMultiExp,naive_rtc,0.01,500,2,0,131,64.90572459995747
HawkesMultiExp,naive_rtc,0.05,500,41,9,298,62.31204089988023
HawkesMultiExp,naive_rtc,0.2,500,204,199,463,66.3583806999959

