underlying_process,method,alpha_level,M,KS,CvM,AD,time_seconds
HawkesExp,khmaladze,0.2,500,104,105,115,22.937701700022444
HawkesExp,naive,0.2,500,1,0,9,20.30789590009954
HawkesExp,naive,0.05,500,0,0,0,20.060082499985583
HawkesExp,naive,0.01,500,0,0,0,19.987579900072888
HawkesExp,khmaladze,0.05,500,25,25,34,22.599596000043675
HawkesExp,khmaladze,0.01,500,3,2,8,23.759769800002687
HawkesPL,naive,0.2,500,45,26,201,21.606635199976154
HawkesPL,naive,0.05,500,6,2,88,21.141211699927226
HawkesPL,naive,0.01,500,0,0,24,21.054388199932873
HawkesPL,khmaladze,0.2,500,125,142,109,23.862158899893984
HawkesPL,khmaladze,0.05,500,31,41,27,23.834423599997535
HawkesPL,khmaladze,0.01,500,9,11,6,22.80032340006437
