generator,method,alpha_level,M,KS,CvM,AD,time_seconds
HawkesExp,naive,0.01,500,1,1,1,57.98914710001554
HawkesExp,khmaladze,0.01,500,4,4,4,54.290421900106594
HawkesExp,naive,0.05,500,1,0,1,54.787076900014654
HawkesExp,khmaladze,0.05,500,26,29,30,54.7473482999485
HawkesExp,naive,0.2,500,8,10,12,54.18432420003228
HawkesExp,khmaladze,0.2,500,101,101,94,55.00343739998061
HawkesPL,naive,0.01,500,0,0,0,231.3327230999712
HawkesPL,khmaladze,0.01,500,4,5,5,230.289501799969
HawkesPL,naive,0.05,500,0,0,1,231.25166209996678
HawkesPL,khmaladze,0.05,500,36,30,40,232.24254599993583
HawkesPL,naive,0.2,500,12,7,14,230.71724050003104
HawkesPL,khmaladze,0.2,500,97,99,107,231.21839200006798
HawkesMultiExp,naive,0.01,500,1,0,3,325.04434759984724
HawkesMultiExp,naive,0.05,500,11,11,14,332.31083029997535
HawkesMultiExp,naive,0.2,500,33,32,40,329.1013474999927
HawkesMultiExp,khmaladze,0.01,500,4,7,10,325.7941815999802
HawkesMultiExp,khmaladze,0.05,500,26,27,31,350.93679949990474
HawkesMultiExp,khmaladze,0.2,500,96,100,106,1229.025815000059
HawkesMultiExp,naive_rtc,0.01,500,12,10,30,333.73803690006025
HawkesMultiExp,naive_rtc,0.05,500,26,20,72,328.44005659990944
HawkesMultiExp,naive_rtc,0.2,500,56,54,96,331.11688799993135






