generator,method,alpha_level,M,KS,CvM,AD,time_seconds
HawkesExp,naive,0.01,500,0,0,0,1027.0786660999875
HawkesExp,khmaladze,0.01,500,8,6,4,1017.1704863000195
HawkesPL,naive,0.01,500,0,0,0,1088.5818210000289
HawkesPL,khmaladze,0.01,500,4,6,10,1075.3086408999516
HawkesExp,naive,0.05,500,0,0,0,1009.5228884000098
HawkesExp,khmaladze,0.05,500,23,23,20,1012.0576294999919
HawkesPL,naive,0.05,500,0,0,0,1087.6180617999635
HawkesPL,khmaladze,0.05,500,21,18,22,1077.703383199987
HawkesExp,naive,0.2,500,9,8,6,1022.4187674999703
HawkesExp,khmaladze,0.2,500,90,79,75,1031.9183011000277
HawkesPL,naive,0.2,500,11,4,10,1104.3233873999561
HawkesPL,khmaladze,0.2,500,103,111,107,1105.9093436000403
HawkesMultiExp,naive,0.01,500,0,0,1,1339.185530000017
HawkesMultiExp,naive,0.05,500,0,0,4,1299.4218763998942
HawkesMultiExp,khmaladze,0.05,500,29,33,46,1313.3840101000387
HawkesMultiExp,naive,0.2,500,15,9,26,1308.3134871000657
HawkesMultiExp,khmaladze,0.2,500,116,114,136,1303.219915100024
HawkesMultiExp,khmaladze,0.01,500,9,10,12,2732.434200999909
