underlying_process,method,alpha_level,M,KS,CvM,AD,time_seconds
HawkesPL,naive,0.2,500,1,0,8,1166.2608582000248
HawkesExp,naive,0.2,500,97,75,255,1077.1791623000754
HawkesExp,naive,0.01,500,0,0,34,1069.5722207999788
HawkesPL,naive,0.01,500,0,0,0,1140.1918150000274
HawkesExp,naive,0.05,500,3,0,144,1070.7650826999452
HawkesPL,naive,0.05,500,0,0,2,2898.7742846999317
HawkesExp,khmaladze,0.01,100,1,1,4,574.1014746000292
HawkesExp,khmaladze,0.05,500,22,24,18,3709.017489799997
HawkesPL,khmaladze,0.05,500,23,24,32,1215.9372658000211
HawkesExp,khmaladze,0.2,500,91,94,89,1010.4468556000502
HawkesPL,khmaladze,0.2,500,106,108,105,1064.5353548999992
HawkesPL,khmaladze,0.01,500,4,6,8,1095.406326299999
